area,bedroom,price,floor,road-width,parking
 57 m,2 phòng ngủ," 1,35 tỷ ",2 lầu,,
 76 m,2 phòng ngủ," 2,8 tỷ ",21 lầu,20m,
 130 m,4 phòng ngủ," 3,8 tỷ ",10 lầu,20m,chỗ để xe
 90 m,3 phòng ngủ, 2 tỷ ,,5m,
 76 m,3 phòng ngủ," 3,7 tỷ ",16 lầu,8m,chỗ để xe
 70 m,2 phòng ngủ," 2,2 tỷ ",1 lầu,10m,
 90 m,2 phòng ngủ," 3,3 tỷ ",30 lầu,,
 85 m,2 phòng ngủ," 2,7 tỷ ",1 lầu,3m,chỗ để xe
 98 m,2 phòng ngủ," 2,25 tỷ ",1 lầu,3m,
 100 m,3 phòng ngủ," 4,4 tỷ ",29 lầu,30m,chỗ để xe
 130 m,3 phòng ngủ," 3,8 tỷ ",18 lầu,20m,chỗ để xe
 74 m,2 phòng ngủ," 2,5 tỷ ",7 lầu,20m,chỗ để xe
 95 m,3 phòng ngủ," 2,55 tỷ ",16 lầu,50m,
 95 m,3 phòng ngủ," 3,4 tỷ ",,0m,chỗ để xe
 130 m,3 phòng ngủ," 3,8 tỷ ",18 lầu,5m,
 121 m,9 phòng ngủ," 3,5 tỷ ",9 lầu,30m,chỗ để xe
 32 m,1 phòng ngủ, 700 triệu ,3 lầu,5m,chỗ để xe
 30 m,1 phòng ngủ, 690 triệu ,3 lầu,,chỗ để xe
 30 m,1 phòng ngủ, 595 triệu ,3 lầu,5m,chỗ để xe
 54 m,2 phòng ngủ," 1,35 tỷ ",45 lầu,,
 128 m,3 phòng ngủ," 4,5 tỷ ",29 lầu,25m,chỗ để xe
 71 m,2 phòng ngủ," 2,3 tỷ ",,,chỗ để xe
 100 m,3 phòng ngủ," 2,57 tỷ ",5 lầu,10m,chỗ để xe
 72 m,2 phòng ngủ," 1,67 tỷ ",,15m,
 106 m,3 phòng ngủ, 28 triệu / m,,,
 107 m,3 phòng ngủ," 3,26 tỷ ",6 lầu,20m,chỗ để xe
 68 m,9 phòng ngủ," 3,25 tỷ ",8 lầu,,chỗ để xe
 94 m,3 phòng ngủ," 3,68 tỷ ",15 lầu,20m,chỗ để xe
 65 m,2 phòng ngủ," 2,68 tỷ ",1 lầu,18m,chỗ để xe
 80 m,3 phòng ngủ," 2,62 tỷ ",,20m,chỗ để xe
 78 m,3 phòng ngủ," 2,08 tỷ ",20 lầu,70m,chỗ để xe
 78 m,2 phòng ngủ," 2,9 tỷ ",10 lầu,30m,chỗ để xe
 90 m,3 phòng ngủ, 28 triệu / m,27 lầu,40m,
 45 m,6 phòng ngủ," 1,7 tỷ ",4 lầu,1m,chỗ để xe
 94 m,2 phòng ngủ," 3,2 tỷ ",12 lầu,7m,
 87 m,2 phòng ngủ," 2,4 tỷ ",21 lầu,,
 90 m,3 phòng ngủ," 2,6 tỷ ",8 lầu,40m,
 82 m,2 phòng ngủ," 3,43 tỷ ",8 lầu,12m,chỗ để xe
 50 m,2 phòng ngủ, 16 triệu / m,1 lầu,,
 46 m,1 phòng ngủ," 1,1 tỷ ",,,
 93 m,2 phòng ngủ," 3,3 tỷ ",16 lầu,,
 82 m,3 phòng ngủ," 2,7 tỷ ",11 lầu,,chỗ để xe
 100 m,3 phòng ngủ," 3,68 tỷ ",6 lầu,,chỗ để xe
 42 m,7 phòng ngủ," 4,35 tỷ ",5 lầu,4m,chỗ để xe
 83 m,3 phòng ngủ," 2,65 tỷ ",10 lầu,,
 74 m,2 phòng ngủ," 2,5 tỷ ",,,chỗ để xe
 68 m,2 phòng ngủ," 2,25 tỷ ",,,chỗ để xe
 77 m,2 phòng ngủ," 2,55 tỷ ",,,
 76 m,2 phòng ngủ," 2,6 tỷ ",,,
 81 m,2 phòng ngủ," 2,55 tỷ ",,,chỗ để xe
 77 m,2 phòng ngủ," 3,3 tỷ ",28 lầu,6m,chỗ để xe
 59 m,2 phòng ngủ," 2,1 tỷ ",1 lầu,30m,chỗ để xe
 74 m,2 phòng ngủ," 2,5 tỷ ",1 lầu,30m,chỗ để xe
 67 m,2 phòng ngủ," 2,12 tỷ ",1 lầu,15m,
 91 m,3 phòng ngủ," 3,5 tỷ ",20 lầu,10m,chỗ để xe
 100 m,3 phòng ngủ," 3,65 tỷ ",6 lầu,,chỗ để xe
 90 m,2 phòng ngủ," 3,3 tỷ ",19 lầu,4m,chỗ để xe
 130 m,3 phòng ngủ," 3,75 tỷ ",18 lầu,15m,chỗ để xe
